광역지자체,자치구,연월,인허가(호),착공(호),준공(호)
대구,,2022-03,1233,623,3753
대구,,2022-04,2305,2262,1636
대구,,2022-05,2385,1727,1735
대구,,2022-06,5117,959,3491
대구,,2022-07,1556,2759,2196
대구,,2022-08,3868,,1581
대구,,2022-09,591,1512,2449
대구,,2022-10,1159,2073,446
대구,,2022-11,2847,540,1160
대구,,2022-12,754,655,2308
대구,,2023-01,1788,24,842
대구,,2023-02,90,218,1432
대구,,2023-03,0,,3592
대구,,2023-04,4111,26,3687
대구,,2023-05,504,17,3093
대구,,2023-06,1947,587,1828
대구,,2023-07,0,,1977
대구,,2023-08,1622,,4712
대구,,2023-09,0,,2335
대구,,2023-10,0,,3586
대구,,2023-11,562,,675
대구,,2023-12,3338,,3486
대구,,2024-01,,272,3432
대구,,2024-02,,,2222
대구,,2024-03,0,278,3498
대구,,2024-04,0,174,3274
대구,,2024-05,0,1098,1266
대구,,2024-06,0,,3668
대구,,2024-07,0,,1024
대구,,2024-08,921,90,2206
대구,,2024-09,0,176,2014
대구,,2024-10,0,448,1510
대구,,2024-11,870,154,3230
대구,,2024-12,0,2749,1882
대구,,2025-01,0,0,4289
대구,,2025-02,0,243,520
대구,,2025-03,0,0,864
대구,,2025-04,0,54,2328
대구,,2025-05,589,0,1903
대구,,2025-06,565,0,1190
대구,,2025-07,430,378,1372
대구,,2025-08,689,-74,1300
대구,,2025-09,1501,0,363
대구,,2025-10,823,2420,740
대구,,2025-11,234,0,1029
대구,,2025-12,0,1492,2239
대구,,2026-01,198,0,1349
대구,,2026-02,137,614,2215
대구,,2026-03,165,0,939
대구,,2026-04,0,0,2504
대구,,2026-05,341,0,0
대구,,2026-06,0,0,777
대구,,2026-07,2719,0,0
인천,,2007-01,0,,
인천,,2007-02,17,,
인천,,2007-03,803,,
인천,,2007-04,3145,,
인천,,2007-05,0,,
인천,,2007-06,5003,,
인천,,2007-07,999,,
인천,,2007-08,1048,,
인천,,2007-09,4147,,
인천,,2007-10,8489,,
인천,,2007-11,7195,,
인천,,2007-12,7511,,
인천,,2008-01,298,,
인천,,2008-02,1111,,
인천,,2008-03,565,,
인천,,2008-04,52,,
인천,,2008-05,1272,,
인천,,2008-06,804,,
인천,,2008-07,2028,,
인천,,2008-08,1829,,
인천,,2008-09,119,,
인천,,2008-10,90,,
인천,,2008-11,50,,
인천,,2008-12,13126,,
인천,,2009-01,188,,
인천,,2009-02,2134,,
인천,,2009-03,1897,,
인천,,2009-04,3289,,
인천,,2009-05,2139,,
인천,,2009-06,1249,,
인천,,2009-07,6342,,
인천,,2009-08,6802,,
인천,,2009-09,1828,,
인천,,2009-10,2743,,
인천,,2009-11,6382,,
인천,,2009-12,15498,,
인천,,2010-01,862,,
인천,,2010-02,1788,,
인천,,2010-03,28,,
인천,,2010-04,32,,
인천,,2010-05,91,,
인천,,2010-06,3095,,
인천,,2010-07,382,,
인천,,2010-08,1574,,35
인천,,2010-09,3360,,0
인천,,2010-10,2111,,3694
인천,,2010-11,1761,,2799
인천,,2010-12,13254,,7373
인천,,2011-01,1306,199,50
인천,,2011-02,1409,353,2906
인천,,2011-03,921,371,4890
인천,,2011-04,467,1972,909
인천,,2011-05,1859,288,1586
인천,,2011-06,3972,993,464
인천,,2011-07,595,323,1962
인천,,2011-08,3060,355,2690
인천,,2011-09,2455,727,1347
인천,,2011-10,4725,94,2178
인천,,2011-11,868,925,376
인천,,2011-12,3476,3362,817
인천,,2012-01,3405,1551,229
인천,,2012-02,1457,279,1676
인천,,2012-03,190,1197,2345
인천,,2012-04,336,140,3765
인천,,2012-05,1227,40,2560
인천,,2012-06,5788,220,1212
인천,,2012-07,1884,153,138
인천,,2012-08,386,428,6206
인천,,2012-09,2701,0,4298
인천,,2012-10,-705,2633,3778
인천,,2012-11,311,24,264
인천,,2012-12,9718,1330,-4120
인천,,2013-01,116,198,70
인천,,2013-02,194,197,1155
인천,,2013-03,48,196,459
인천,,2013-04,628,101,63
인천,,2013-05,4265,489,567
인천,,2013-06,1891,4216,783
인천,,2013-07,366,362,235
인천,,2013-08,319,331,229
인천,,2013-09,368,317,275
인천,,2013-10,427,74,55
인천,,2013-11,0,179,1370
인천,,2013-12,5751,1141,1707
인천,,2014-01,188,322,1205
인천,,2014-02,1098,946,843
인천,,2014-03,2693,981,1654
인천,,2014-04,167,2485,213
인천,,2014-05,211,261,577
인천,,2014-06,382,390,1352
